SegId,CellCount,DsSegId,StFac,EdFac,Length,DsDist,StrOrd
1,19,2,1474411,1475572,233.84776310850236,31116.17674667707,3
2,130,3,1637732,1641273,1509.5331880577419,29592.5014229956,3
3,199,4,1652040,1666443,2365.218613006984,27217.282809988617,3
4,265,5,1838599,1895997,3170.1933598375713,24037.08945015104,3
5,102,6,2027020,2034823,1192.2539674441623,22830.69334708315,3
6,67,7,2115634,2121725,792.5483399593904,22024.00287150003,3
7,121,8,2168272,2177010,1436.1017305526661,20573.759005323634,3
8,139,9,2192614,2195390,1645.0966799187831,18914.52018978112,3
9,285,10,2206187,2245519,3357.766952966379,15542.611101191016,3
10,211,11,2254599,2264266,2402.375900532364,13126.093065034918,3
11,73,12,2275256,2276469,823.5533905932738,12288.397538817913,3
12,305,13,2357454,2393773,3574.335495461303,8704.062043356611,3
13,283,14,2423908,2443192,3230.0714267493713,5459.848480983508,3
14,135,15,2456200,2472319,1580.2438661763968,3865.4624791833808,3
15,259,16,2502799,2517796,3068.7720036002593,786.6904755831214,3
16,65,0,2539699,2540817,776.6904755831214,0.0,3
